Top queries,Last 28 days Clicks,Same period last year Clicks,Last 28 days Impressions,Same period last year Impressions,Last 28 days CTR,Same period last year CTR,Last 28 days Position,Same period last year Position
telegram chat groups,0,101,0,923,0%,10.94%,0,6.64
whats happening in la,0,101,0,900,0%,11.22%,0,2.39
ukrainian war,0,101,0,781,0%,12.93%,0,1.39
telegram group girl,0,100,0,2786,0%,3.59%,0,9.22
elon musk alice weidel interview,0,100,0,545,0%,18.35%,0,4.06
trump mug shot,0,99,0,4793,0%,2.07%,0,2.32
trump 2025 portrait,0,99,0,2044,0%,4.84%,0,3.86
rogfast tunnel,3,99,151,1978,1.99%,5.01%,10.09,7.53
bolhem bouchiba,3,99,38,1810,7.89%,5.47%,10.55,6.67
german telegram group,0,99,0,551,0%,17.97%,0,6.12
brad pitt french woman,0,99,0,433,0%,22.86%,0,3.02
germany fireworks,0,98,0,2026,0%,4.84%,0,6.76
south korea news,2,98,29,1983,6.9%,4.94%,5.83,1.37
taliban pakistan war,0,98,0,1948,0%,5.03%,0,4.7
ann telnaes,0,98,0,1684,0%,5.82%,0,2.35
latest israel news,0,98,0,1059,0%,9.25%,0,2.71
zelensky lex fridman,0,98,0,926,0%,10.58%,0,3.82
taleb abdelmohsen,0,97,0,2122,0%,4.57%,0,10.65
south korean president,0,97,0,1929,0%,5.03%,0,2.51
egypt shark attack,0,97,0,937,0%,10.35%,0,4.23
chester griffiths malibu,0,97,0,457,0%,21.23%,0,2.89
south korea president,0,96,0,2938,0%,3.27%,0,4.64
steve witkoff trump,0,96,0,1393,0%,6.89%,0,4.74
giorgia meloni elon musk,0,96,0,1026,0%,9.36%,0,4.34
le pen,5,95,189,6661,2.65%,1.43%,5.7,5.48
woman burned alive,0,95,0,4264,0%,2.23%,0,6.31
harry,0,95,0,1868,0%,5.09%,0,3.22
war in ukraine today,30,95,191,610,15.71%,15.57%,1.67,3.29
south africa news,26,95,144,485,18.06%,19.59%,1.62,8.22
chess news,0,94,0,464,0%,20.26%,0,5.9
russia estonia border blimp,0,94,0,228,0%,41.23%,0,1.04
fishing vessel,0,94,0,221,0%,42.53%,0,3.35
what's happening in los angeles,0,93,0,1549,0%,6%,0,6.18
ukrainian war news,0,93,0,393,0%,23.66%,0,2.85
nato jets scrambled after russia launches massive airstrike on ukraine.,0,93,0,279,0%,33.33%,0,1.33
wildfires,0,92,0,3957,0%,2.32%,0,1.01
telegram german girls,0,92,0,1499,0%,6.14%,0,5.11
north koreans in ukraine,0,92,0,775,0%,11.87%,0,2.63
north korea warship,0,92,0,747,0%,12.32%,0,1.57
telegram rape videos,0,92,0,586,0%,15.7%,0,2.4
elon musk news,2,91,74,1201,2.7%,7.58%,1,2.28
zelensky fridman,0,91,0,723,0%,12.59%,0,3.84
chagos islands deal uk mauritius,0,91,0,346,0%,26.3%,0,1.2
"70,000 men caught",0,91,0,191,0%,47.64%,0,1.14
carl thomas dean,0,90,0,5474,0%,1.64%,0,3.02
syria education,0,90,0,1951,0%,4.61%,0,1.03
asma asad,0,90,0,1924,0%,4.68%,0,4.51
south korea ukraine,0,90,0,1513,0%,5.95%,0,1.25
germany and france warn trump,0,90,0,769,0%,11.7%,0,2.97
west bank,0,90,0,511,0%,17.61%,0,3.64
rape chat uncovered,0,90,0,157,0%,57.32%,0,1.92
magura v5,0,89,0,6387,0%,1.39%,0,7.62
gisele pelicot husband,0,89,0,1476,0%,6.03%,0,1.58
greenland coat of arms,0,89,0,1021,0%,8.72%,0,3.64
musk weidel interview,0,89,0,674,0%,13.2%,0,5.18
"70,000 telegram",0,89,0,264,0%,33.71%,0,3.62
zuckerberg,0,88,0,1437,0%,6.12%,0,2.11
gaza latest news,0,88,0,1044,0%,8.43%,0,2.85
world news ukraine,18,88,157,550,11.46%,16%,1.01,3.05
pak afghan war,0,87,0,1765,0%,4.93%,0,4.58
gored to death,0,87,0,1433,0%,6.07%,0,3.43
south korea plane,0,87,0,1422,0%,6.12%,0,3.21
trump deportation,2,87,110,755,1.82%,11.52%,1,1.03
asma assad leukemia,0,87,0,362,0%,24.03%,0,1.64
bangkok hotel fire,0,86,0,1959,0%,4.39%,0,5.17
chess world championship,0,86,0,1491,0%,5.77%,0,4.27
telegram forced,0,86,0,1200,0%,7.17%,0,4.02
russia latest news,2,86,100,973,2%,8.84%,1.22,5.26
mrs assad,0,86,0,866,0%,9.93%,0,3.59
elon musk interview,0,86,0,694,0%,12.39%,0,3.66
trump deportation plan,0,86,0,466,0%,18.45%,0,1.28
los angeles,0,85,0,7586,0%,1.12%,0,2.11
elon musk afd,0,85,0,1030,0%,8.25%,0,3.61
la bush fire,0,85,0,820,0%,10.37%,0,4.66
gisèle pelicot,0,84,0,2585,0%,3.25%,0,4.05
al assad wife,0,84,0,1455,0%,5.77%,0,4.16
telegram rape video,0,84,0,472,0%,17.8%,0,1.96
giulia sarkozy,2,83,2533,1682,0.08%,4.93%,3.59,2.99
where is asma al-assad today,0,83,0,1404,0%,5.91%,0,4.12
india bangladesh news,0,83,0,322,0%,25.78%,0,2.1
"70,000 men chat",0,83,0,300,0%,27.67%,0,3.29
los angeles fire,0,82,0,4674,0%,1.75%,0,1
group sex telegram,0,82,0,1088,0%,7.54%,0,7.55
ukraine counter offensive,0,82,0,1041,0%,7.88%,0,12
greenland seeks independence,0,82,0,448,0%,18.3%,0,2.2
french woman scammed,0,82,0,385,0%,21.3%,0,3.1
aaron banks denied entry,0,82,0,236,0%,34.75%,0,1.01
asma al assad news,0,81,0,1099,0%,7.37%,0,3.44
fiber optic drone,0,81,0,1095,0%,7.4%,0,4.71
russia says ukraine has launched a counterattack in the kursk region.,0,81,0,754,0%,10.74%,0,1
terrorist attack,0,80,0,3458,0%,2.31%,0,2.81
la now,0,80,0,2667,0%,3%,0,6.04
kamala,0,80,0,1693,0%,4.73%,0,5.57
imran khan news,7,80,191,969,3.66%,8.26%,1.37,4.44
saudi doctor,0,80,0,897,0%,8.92%,0,5.38
chagos islands news,0,80,0,723,0%,11.07%,0,1.47
south korean plane crash video,0,80,0,594,0%,13.47%,0,1.74
workd news,37,80,341,526,10.85%,15.21%,7.98,6.08
ko yoonwoo,0,80,0,327,0%,24.46%,0,1.57
richard dawkins transgender,0,80,0,298,0%,26.85%,0,2.57
"telegram 70,000",0,80,0,182,0%,43.96%,0,3.62
magdeburg,0,79,0,3803,0%,2.08%,0,7.03
italian sex,0,79,0,2699,0%,2.93%,0,8.03
houthi news,6,79,55,1113,10.91%,7.1%,1.55,3.83
oscar jenkins,0,79,0,903,0%,8.75%,0,4.77
ukraine and russia war,0,79,0,823,0%,9.6%,0,3.54
telegram rape link,7,79,31,430,22.58%,18.37%,8.55,1.68
rape group chat news,0,79,0,142,0%,55.63%,0,1.68
maga,0,78,0,3529,0%,2.21%,0,6.32
crocodile dundee burt dies,0,78,0,1803,0%,4.33%,0,1.14
remigration,0,78,0,1777,0%,4.39%,0,4.73
what happen in la,0,78,0,1602,0%,4.87%,0,4.02
bashar assad,0,78,0,1363,0%,5.72%,0,3.43
mohammed kanjo hassan,0,78,0,1335,0%,5.84%,0,3.71
korean plane crash,0,78,0,1313,0%,5.94%,0,3
shamsud-din bahar jabbar nationality,0,78,0,1264,0%,6.17%,0,6.55
isreal news,3,78,68,1051,4.41%,7.42%,1,3.62
israeli news,15,78,76,777,19.74%,10.04%,1.04,1.59
lance appleby,0,78,0,732,0%,10.66%,0,1.46
telegram germany,0,78,0,341,0%,22.87%,0,6.58
"telegram 70,000 men",0,78,0,198,0%,39.39%,0,3.63
fires in la,0,77,0,3976,0%,1.94%,0,1.52
asma al asad,0,77,0,2125,0%,3.62%,0,6.08
la mayor karen bass,0,77,0,880,0%,8.75%,0,2.01
latest news israel,0,77,0,689,0%,11.18%,0,5.27
kursk news,0,77,0,642,0%,11.99%,0,4.72
asma al-assad leukemia,0,77,0,478,0%,16.11%,0,1.58
asma al assad health,0,77,0,430,0%,17.91%,0,2.19
gay sex,0,76,0,8517,0%,0.89%,0,12.08
assad news,0,76,0,433,0%,17.55%,0,3.3
kyiv drone strike 2025,0,76,0,366,0%,20.77%,0,1.02
anders breivik z hair,0,76,0,146,0%,52.05%,0,1.01
rape sex telegram,0,75,0,1114,0%,6.73%,0,3.18
witkoff trump,0,75,0,1018,0%,7.37%,0,4.11
musk news,7,75,64,874,10.94%,8.58%,5.88,1.72
plane crash christmas day 2024,0,75,0,738,0%,10.16%,0,1.95
latest news in ukraine,4,75,118,736,3.39%,10.19%,3,2.32
ukraine attack,0,75,0,543,0%,13.81%,0,3.34
gay rape telegram,0,75,0,420,0%,17.86%,0,2.45
witkoff netanyahu,0,75,0,377,0%,19.89%,0,4.14
donald trump mugshot,0,74,0,3896,0%,1.9%,0,3.2
italy birth rate,0,74,0,1228,0%,6.03%,0,4.4
musk meloni,0,74,0,1213,0%,6.1%,0,4.57
richard dawkins trans,0,74,0,488,0%,15.16%,0,4.08
natural gas in russia,0,74,0,287,0%,25.78%,0,1
telegraph online,32,73,12714,18756,0.25%,0.39%,1.03,1.13
"ukrainian police conduct nationwide raids to prevent military-aged men from 
evading draft",0,73,0,4660,0%,1.57%,0,4.35
musk afd,0,73,0,1044,0%,6.99%,0,3.47
kamala harris at carter funeral,0,73,0,723,0%,10.1%,0,2.59
new orleans terror cell,0,73,0,661,0%,11.04%,0,2.7
trump snubbed at carter funeral,0,73,0,570,0%,12.81%,0,3.27
afd remigration,0,73,0,552,0%,13.22%,0,3.99
weidel musk interview,0,73,0,531,0%,13.75%,0,5.37
vivek,0,72,0,2673,0%,2.69%,0,6.33
pakistan and afghanistan war news,0,72,0,1273,0%,5.66%,0,3.98
group chat 70000,0,72,0,170,0%,42.35%,0,1.72
nuclear weapon,0,71,0,3673,0%,1.93%,0,4.77
jeff bezos cartoon,0,71,0,3581,0%,1.98%,0,6.9
andre gleissner,0,71,0,3043,0%,2.33%,0,8.01
martina navratilova,0,71,0,2568,0%,2.76%,0,5.74
la mayor ghana,0,71,0,1875,0%,3.79%,0,6.86
woman set on fire new york,0,71,0,773,0%,9.18%,0,2.72
donald trump inauguration photo,0,71,0,712,0%,9.97%,0,2.39
assad's wife divorce,0,71,0,663,0%,10.71%,0,3.4
latest ukraine,35,71,800,382,4.38%,18.59%,6.41,2.01
taiwan foreign legion,0,71,0,275,0%,25.82%,0,1.68
chester griffiths fire,0,71,0,254,0%,27.95%,0,1.79
70 000 men telegram,0,71,0,213,0%,33.33%,0,4.69
justin trudeau resignation,0,70,0,4891,0%,1.43%,0,4.41
donald trump inauguration,0,70,0,4748,0%,1.47%,0,5.22
german market car crash,0,70,0,1386,0%,5.05%,0,3.6
kamala harris jimmy carter,0,70,0,951,0%,7.36%,0,3.5
mayor karen bass,0,70,0,887,0%,7.89%,0,2.13
musk weidel,0,70,0,744,0%,9.41%,0,5.67
north korean soldiers ukraine,0,70,0,739,0%,9.47%,0,10.96
fridman zelensky,0,70,0,699,0%,10.01%,0,3.86
latest news ukraine war,0,70,0,527,0%,13.28%,0,3.83
ukraine russia war news,0,70,0,516,0%,13.57%,0,2.52
plane crash shot down,0,70,0,367,0%,19.07%,0,2.48
anne france brad pitt,0,70,0,201,0%,34.83%,0,2.86
musk threatens war,0,70,0,179,0%,39.11%,0,1.13
"group chat 70,000 men",0,70,0,150,0%,46.67%,0,1.98
italy tries to eat itself out of a blue crab invasion,0,70,0,125,0%,56%,0,1.01
marine le pen,15,69,636,10678,2.36%,0.65%,7.17,6.33
invasion barges,0,69,0,5862,0%,1.18%,0,3.25
alternative for germany,0,69,0,4594,0%,1.5%,0,5.87
russian ship,5,69,283,1548,1.77%,4.46%,1,2.48
liam payne death,0,69,0,1197,0%,5.76%,0,7.11
ceasefire news,0,69,0,740,0%,9.32%,0,2.93
ukraine today,2,69,85,383,2.35%,18.02%,1.12,1.71
brad pitt fraud,0,69,0,254,0%,27.17%,0,3.14
70000 men in chat,0,69,0,241,0%,28.63%,0,3.19
jake waddington ukraine,0,69,0,227,0%,30.4%,0,1.55
pope francis,0,68,0,4080,0%,1.67%,0,3.13
emmanuel macron wife age gap,0,68,0,3662,0%,1.86%,0,6.32
bird strike,0,68,0,2709,0%,2.51%,0,6.38
kamala harris carter funeral,0,68,0,643,0%,10.58%,0,2.48
trump envoy to the middle east,0,68,0,630,0%,10.79%,0,3.94
telegram rape channels,0,68,0,307,0%,22.15%,0,2.7
prime minister of slovakia,0,68,0,185,0%,36.76%,0,2.23
70000 men caught in group chat,0,68,0,170,0%,40%,0,2.64
boxing day tsunami,0,67,0,7205,0%,0.93%,0,10.18
bangkok,2,67,251,4475,0.8%,1.5%,3.83,5.37
christian craighead wiki,0,67,0,2541,0%,2.64%,0,8.85
telegram girls chat group,0,67,0,1079,0%,6.21%,0,10.87
sex chat group telegram,0,67,0,832,0%,8.05%,0,9.54
rape tg,0,67,0,414,0%,16.18%,0,2.85
telegraph 70000 men,0,67,0,78,0%,85.9%,0,1
daily telegraph online,9,66,3687,6543,0.24%,1.01%,1.03,1.19
justin trudeau resign,0,66,0,6395,0%,1.03%,0,9.52
baltic sea undersea cables cut,0,66,0,5475,0%,1.21%,0,1.45
yoon suk yeol,0,66,0,2343,0%,2.82%,0,2.8
jr trammell billionaire,0,66,0,1069,0%,6.17%,0,6.65
witkoff israel,0,66,0,385,0%,17.14%,0,2.8
rami malek uk,0,66,0,325,0%,20.31%,0,3.66
telegram rape group chats,0,66,0,148,0%,44.59%,0,2.76
rape chat group news,0,66,0,120,0%,55%,0,2.52
rape group chats,0,66,0,108,0%,61.11%,0,2.06
telegraph rape chat,0,66,0,84,0%,78.57%,0,1.37
muan,0,65,0,4090,0%,1.59%,0,5.62
pompeii,0,65,0,3784,0%,1.72%,0,5.32
canada prime minister,0,65,0,2013,0%,3.23%,0,2.3
farage,35,65,1306,1334,2.68%,4.87%,1.32,1.53
telegram rape porn,2,65,24,365,8.33%,17.81%,7.04,2.23
70000 men on telegram,0,65,0,227,0%,28.63%,0,5.11
eu,9,64,892,2453,1.01%,2.61%,2.58,2.53
ann coulter,0,64,0,1435,0%,4.46%,0,4.84
azerbaijan plane,0,64,0,1119,0%,5.72%,0,4.44
trudeau news,0,64,0,1089,0%,5.88%,0,3.26
taleb abdulmohsen,0,64,0,970,0%,6.6%,0,8.17
news gaza,14,64,144,709,9.72%,9.03%,1.01,2.64
kamala harris news,0,64,0,691,0%,9.26%,0,4.56
germany telegram,0,64,0,380,0%,16.84%,0,5.82
aircraft crash,0,64,0,348,0%,18.39%,0,1.63
harris snubs trump,0,64,0,176,0%,36.36%,0,1.24
"70,000 men in groupchat",0,64,0,173,0%,36.99%,0,2.35
north korean soldier diary,0,64,0,146,0%,43.84%,0,2.45
richard dawkins quits atheism foundation,0,64,0,121,0%,52.89%,0,1.08
the telegraph brain dead women,0,64,0,72,0%,88.89%,0,1
woman set on fire,0,63,0,1212,0%,5.2%,0,1.57
celebrity news,0,63,0,1142,0%,5.52%,0,1.7
yoav gallant,0,63,0,703,0%,8.96%,0,6.56
kazakhstan plane crash shot down,0,63,0,594,0%,10.61%,0,3.07
latest on russia ukraine war,0,63,0,414,0%,15.22%,0,1.81
group chat of 70000 men,0,63,0,143,0%,44.06%,0,2.82
chagos islands mauritius uk negotiations,0,63,0,121,0%,52.07%,0,1
keep brain dead women,0,63,0,102,0%,61.76%,0,2.22
netanyahu news,15,62,263,1969,5.7%,3.15%,1.84,1.89
elon,0,62,0,1210,0%,5.12%,0,3.06
ai news,0,62,0,928,0%,6.68%,0,4.13
flight crash,0,62,0,630,0%,9.84%,0,2
spanish tourist killed by elephant,0,62,0,541,0%,11.46%,0,2.74
telegram rape sex,0,62,0,460,0%,13.48%,0,1.88
ukraine counter attack,0,62,0,435,0%,14.25%,0,1.98
war in ukraine latest news,0,62,0,388,0%,15.98%,0,4.15
french woman brad pitt scam,0,62,0,359,0%,17.27%,0,3.34
70k men telegram,0,62,0,289,0%,21.45%,0,3.91
70000 men rape group chat,0,62,0,122,0%,50.82%,0,2.04
taliban pakistan news,0,61,0,1662,0%,3.67%,0,6.3
robert brooks,0,61,0,1254,0%,4.86%,0,2.19
lex fridman putin,0,61,0,1058,0%,5.77%,0,4.28
russia kursk,0,61,0,977,0%,6.24%,0,1.58
ukraine news latest,14,61,210,449,6.67%,13.59%,3.01,3.45
ukraine shotgun drone,0,61,0,405,0%,15.06%,0,2.43
asma assad health,0,61,0,277,0%,22.02%,0,1.82
70000 man group chat,0,61,0,189,0%,32.28%,0,3.46
70 000 men in group chat,0,61,0,122,0%,50%,0,2.86
richard dawkins quits,0,61,0,121,0%,50.41%,0,1.26
china taiwan landing barges,0,60,0,4187,0%,1.43%,0,5.88
trump official portrait,0,60,0,1727,0%,3.47%,0,2.93
woman set on fire in ny subway,0,60,0,1691,0%,3.55%,0,2.37
gaza war,0,60,0,1449,0%,4.14%,0,1.72
canada 51st state,0,60,0,1084,0%,5.54%,0,6.3
cease fire gaza,0,60,0,959,0%,6.26%,0,1.51
where is mark thatcher today,3,60,165,578,1.82%,10.38%,4.14,5.34
russian war news,0,60,0,564,0%,10.64%,0,2.72
french theatre migrants,0,60,0,462,0%,12.99%,0,4.01
news on ukraine,26,60,206,430,12.62%,13.95%,1.21,1.72
sex telegram group,0,60,0,373,0%,16.09%,0,4.44
spanish tourist gored to death by elephant,0,60,0,247,0%,24.29%,0,2.61
"trump's mideast envoy forced netanyahu to accept a gaza plan he repeatedly 
rejected",0,60,0,168,0%,35.71%,0,1.52
70 thousand men group chat,0,60,0,117,0%,51.28%,0,2.45
the telegraph keep brain dead women alive,0,60,0,73,0%,82.19%,0,1
pope,3,59,309,3446,0.97%,1.71%,2.61,6.44
plane crashes south korea,0,59,0,1164,0%,5.07%,0,1.34
charlie hebdo,0,59,0,868,0%,6.8%,0,7.29
herbert kickl,0,59,0,580,0%,10.17%,0,2.59
pompeii couple,0,59,0,549,0%,10.75%,0,1.95
trump deportation news,0,59,0,363,0%,16.25%,0,1.16
steve witkoff netanyahu,0,59,0,309,0%,19.09%,0,3.45
telegram men group,0,59,0,170,0%,34.71%,0,5.32
keep brain dead women alive and use them as surrogate mothers,0,59,0,83,0%,71.08%,0,1.3
plane crashes december 2024,0,58,0,2378,0%,2.44%,0,1.4
taleb al abdulmohsen x,0,58,0,1018,0%,5.7%,0,4.63
israel ceasefire news,0,58,0,712,0%,8.15%,0,2.91
raped telegram,2,58,26,647,7.69%,8.96%,9.69,2.99
news syria,4,58,79,643,5.06%,9.02%,1,1.69
"israeli opposition accuses netanyahu of sabotaging gaza hostage deal 
negotiations",0,58,0,507,0%,11.44%,0,1.48
assad wife cancer,0,58,0,459,0%,12.64%,0,4.14
aircraft shot down,0,58,0,326,0%,17.79%,0,2.56
70k men in group chat,0,58,0,204,0%,28.43%,0,2.78
70000 chat,0,58,0,172,0%,33.72%,0,2.65
mossad,0,57,0,5645,0%,1.01%,0,10.64
news war,15,57,255,747,5.88%,7.63%,1,3.29
ukraine russian war,0,57,0,446,0%,12.78%,0,2.05
asma al assad illness,0,57,0,399,0%,14.29%,0,2.95
nato jets scrambled today,0,57,0,375,0%,15.2%,0,2.27
asylum seeker,0,57,0,211,0%,27.01%,0,1.66
70000 men telegram group,0,57,0,199,0%,28.64%,0,4.42
rape chat group telegram,0,57,0,168,0%,33.93%,0,3.19
german investigation telegram,0,57,0,117,0%,48.72%,0,2.26
ghana,0,56,0,7804,0%,0.72%,0,5.55
news telegraph,31,56,3394,3156,0.91%,1.77%,1.1,1.11
germany afd,0,56,0,2590,0%,2.16%,0,5.09
kamala harris eulogy for jimmy carter,0,56,0,523,0%,10.71%,0,1.52
shark attacks,0,56,0,377,0%,14.85%,0,13.4
justin trudeau approval rating chart,0,56,0,301,0%,18.6%,0,3.14
telegram rape group link,7,56,20,241,35%,23.24%,4.5,1.27
70000 rape chat,0,56,0,136,0%,41.18%,0,2.76
italy birth rate decline,0,56,0,135,0%,41.48%,0,1.84
70000 men whatsapp,0,56,0,90,0%,62.22%,0,1
telegraph.co.uk,24,55,6104,6518,0.39%,0.84%,1.06,1.07
thailand elephant,0,55,0,1053,0%,5.22%,0,6.62
russia plane,0,55,0,984,0%,5.59%,0,2.85
gaza ceasfire,0,55,0,940,0%,5.85%,0,2.34
spanish ski lift,0,55,0,914,0%,6.02%,0,2.63
russia and ukraine war,4,55,93,734,4.3%,7.49%,1.11,2.04
italian news,25,55,130,540,19.23%,10.19%,1.02,1.59
asma assad cancer,0,55,0,415,0%,13.25%,0,3.6
french woman scammed brad pitt,0,55,0,404,0%,13.61%,0,4.3
ukraine attack russia,0,55,0,300,0%,18.33%,0,2.75
real rape telegram,0,55,0,291,0%,18.9%,0,1.91
blue crab italy,0,55,0,215,0%,25.58%,0,2.25
musk weidel live,0,55,0,191,0%,28.8%,0,11.75
richard dawkins resigns,0,55,0,190,0%,28.95%,0,2.03
70000 men caught in chat,0,55,0,185,0%,29.73%,0,3.61
pro rape telegram group,0,55,0,80,0%,68.75%,0,1.32
alexey bugayev,0,54,0,2032,0%,2.66%,0,5.95
calin georgescu,0,54,0,1409,0%,3.83%,0,1.67
trump hostages,0,54,0,1111,0%,4.86%,0,4.59
hostages,5,54,208,898,2.4%,6.01%,3.28,3.69
elon musk die welt,0,54,0,608,0%,8.88%,0,5.29
asma al assad cancer,0,54,0,503,0%,10.74%,0,4.39
russia-ukraine,3,54,32,489,9.38%,11.04%,1.78,2.24
news russia ukraine,28,54,435,472,6.44%,11.44%,1.35,3.96
elon musk tweet,0,54,0,438,0%,12.33%,0,1.66
ai brad pitt scam,0,54,0,368,0%,14.67%,0,2.54
70000 men on app,0,54,0,163,0%,33.13%,0,2.48
70000 men telegram chat,0,54,0,160,0%,33.75%,0,3.84
telegram group germany,0,54,0,147,0%,36.73%,0,4.13
paris,2,53,1258,8333,0.16%,0.64%,6.1,9.54
mark carney,0,53,0,2760,0%,1.92%,0,4.46
bashar al-assad wife,0,53,0,1712,0%,3.1%,0,5.66
donald trump inauguration portrait,0,53,0,1189,0%,4.46%,0,3.88
danish coat of arms,0,53,0,1054,0%,5.03%,0,3.37
ukrain,25,53,864,1009,2.89%,5.25%,1.8,1.64
asma al assad dead,0,53,0,806,0%,6.58%,0,3.08
trump's inauguration photo,0,53,0,782,0%,6.78%,0,2.26
world chess championship,0,53,0,734,0%,7.22%,0,7.68
kim jong-un says north korea will adopt toughest strategy against us.,0,53,0,536,0%,9.89%,0,1.07
russia latest,2,53,29,416,6.9%,12.74%,1,2.86
latest ukraine war,2,53,278,390,0.72%,13.59%,9.12,2.48
telegram sex groups,0,53,0,372,0%,14.25%,0,8.39
"keep brain-dead women alive and use them as surrogate mothers, suggest 
doctors",0,53,0,116,0%,45.69%,0,1.27
70000 men telegraph,0,53,0,105,0%,50.48%,0,1
70 000 group chat,0,53,0,104,0%,50.96%,0,1.85
kazan drone attack,0,52,0,1905,0%,2.73%,0,5.72
donald trump portrait 2025,0,52,0,1454,0%,3.58%,0,3.61
donald trump new portrait,0,52,0,919,0%,5.66%,0,4.08
biden iran,0,52,0,903,0%,5.76%,0,2.24
pak afghan news,0,52,0,823,0%,6.32%,0,3.89
fireworks germany,0,52,0,766,0%,6.79%,0,5.08
north korean soldiers in ukraine,0,52,0,550,0%,9.45%,0,4.81
ceasefire trump,0,52,0,537,0%,9.68%,0,1.62
meloni trump mar-a-lago visit,0,52,0,162,0%,32.1%,0,1
70.000 men,0,52,0,145,0%,35.86%,0,3.81
70 000 telegram,0,52,0,113,0%,46.02%,0,2.42
rape group chat uncovered,0,52,0,96,0%,54.17%,0,1.2
does dolly parton have kids,0,51,0,3806,0%,1.34%,0,1.93
annalena baerbock,0,51,0,2280,0%,2.24%,0,3.73
king leopold,0,51,0,2084,0%,2.45%,0,2.05
what happen to la,0,51,0,1496,0%,3.41%,0,4.58
elon musk x,0,51,0,1299,0%,3.93%,0,2.52
jack smith,0,51,0,1121,0%,4.55%,0,1.8
baltic sea cable,0,51,0,687,0%,7.42%,0,1
trump gaza ceasefire,0,51,0,437,0%,11.67%,0,3.42
romania election,0,51,0,380,0%,13.42%,0,1.69
dinghy,0,51,0,369,0%,13.82%,0,46.14
italy blue crab,0,51,0,162,0%,31.48%,0,2.19
70k men,0,51,0,147,0%,34.69%,0,3.29
telegram group 70000 men,0,51,0,112,0%,45.54%,0,3.93
70000 men news,0,51,0,97,0%,52.58%,0,2.61
mark hamill,0,50,0,7147,0%,0.7%,0,7.43
marla svenja liebich,0,50,0,999,0%,5.01%,0,10.62
trump gaza,8,50,362,992,2.21%,5.04%,2.84,2.63
woman on fire new york subway,0,50,0,938,0%,5.33%,0,1.45
trump envoy,0,50,0,565,0%,8.85%,0,3.7
kamala at carter funeral,0,50,0,455,0%,10.99%,0,2.09
russian ukraine news,0,50,0,430,0%,11.63%,0,2.2
