Top queries,Last 28 days Clicks,Same period last year Clicks,Last 28 days Impressions,Same period last year Impressions,Last 28 days CTR,Same period last year CTR,Last 28 days Position,Same period last year Position
telegram 70000,0,246,0,959,0%,25.65%,0,4.31
ukraine launches new counter-offensive in russia's kursk region,0,241,0,3046,0%,7.91%,0,2.8
telegram rape group chat,0,239,0,560,0%,42.68%,0,2.91
german election polls,0,237,0,3183,0%,7.45%,0,4.42
crocodile dundee star dies,0,236,0,19009,0%,1.24%,0,5.8
olaf scholz,0,236,0,4255,0%,5.55%,0,4.7
laser weapon,0,236,0,950,0%,24.84%,0,3.44
vivek ramaswamy,0,235,0,6732,0%,3.49%,0,7.39
israel hamas ceasefire,0,235,0,6381,0%,3.68%,0,3.54
70k men group chat,0,233,0,674,0%,34.57%,0,2.63
70 000 men group chat,0,230,0,557,0%,41.29%,0,3.12
joe biden,0,227,0,4283,0%,5.3%,0,2.14
telegram rape groups,0,225,0,666,0%,33.78%,0,1.85
afghanistan pakistan war,0,221,0,4355,0%,5.07%,0,4.62
canada,0,219,0,8159,0%,2.68%,0,2.24
pyongyang,2,218,991,454,0.2%,48.02%,9.22,1.49
ryan reynolds wife,0,216,0,7373,0%,2.93%,0,3.93
pelicot,4,216,86,3824,4.65%,5.65%,4.08,4.28
"70,000 men",2,216,165,776,1.21%,27.84%,1.18,2.1
dutch asylum seekers economic impact,0,216,0,592,0%,36.49%,0,1.02
asma al assad divorce,0,214,0,2954,0%,7.24%,0,5.21
ukraine war news today,0,213,0,1428,0%,14.92%,0,2.1
aviation accident and incident,0,211,0,638,0%,33.07%,0,1.47
senegal,0,210,0,8211,0%,2.56%,0,9.8
isreal,14,209,312,4205,4.49%,4.97%,1.28,1.61
"70,000 men in a group chat",0,209,0,753,0%,27.76%,0,2.76
dr chester griffiths,0,208,0,1114,0%,18.67%,0,3.55
commando,0,208,0,457,0%,45.51%,0,5.33
fighter aircraft,3,207,237,1125,1.27%,18.4%,2.79,2.82
telegram sex chat,0,206,0,3602,0%,5.72%,0,9.56
kurakhove,0,205,0,9113,0%,2.25%,0,7.17
paris hilton,0,203,0,13241,0%,1.53%,0,3.38
denmark new coat of arms,0,202,0,1426,0%,14.17%,0,4.87
rape telegram group,4,202,43,1332,9.3%,15.17%,9.77,2.13
north korean diary,0,202,0,397,0%,50.88%,0,1.35
